789, 278, 9, 4, 3, 2, 1, 0, -2
Sort 2, 1, 5, -21, 8, 24, 93, -9, 0 in increasing order.
-21, -9, 0, 1, 2, 5, 8, 24, 93
Put 1, -1, 6, 4, 49, 8, 5, 37, -6 in descending order.
49, 37, 8, 6, 5, 4, 1, -1, -6
Put 4, 2, 86, -9, -4, 25, 6, 10, 1 in ascending order.
-9, -4, 1, 2, 4, 6, 10, 25, 86
Put 4, 8, 3, 0, 68, 85, 88, 25, -2 in ascending order.
-2, 0, 3, 4, 8, 25, 68, 85, 88
Put 7, 2, 0, -9, 8, 9, -52, -33, 5 in decreasing order.
9, 8, 7, 5, 2, 0, -9, -33, -52
Put 12, 3, 21, 4, -5, 6, 26, 7, -1 in descending order.
26, 21, 12, 7, 6, 4, 3, -1, -5
Sort 9, -8, -432, 5, 1, 2, 3, 14, 0 in ascending order.
-432, -8, 0, 1, 2, 3, 5, 9, 14
Put -5, 5, 1, 3, -4, 8, 6, -18, 15 in descending order.
15, 8, 6, 5, 3, 1, -4, -5, -18
Sort -1, 4, 1, 4158, 0, 8, 5, 2, -2 in descending order.
4158, 8, 5, 4, 2, 1, 0, -1, -2
Sort 2, 3, 8, 13, -8, 6, 0, -58, 4 in increasing order.
-58, -8, 0, 2, 3, 4, 6, 8, 13
Sort 29, -2, 5, 73, 0, 4, 2, 14, -5 in decreasing order.
73, 29, 14, 5, 4, 2, 0, -2, -5
Sort -19, 16, -4, 4, -5, 7, 0, 2, 5 in descending order.
16, 7, 5, 4, 2, 0, -4, -5, -19
Put 0, 6, 2, 14, 4, 1, -9, 684, -5 in ascending order.
-9, -5, 0, 1, 2, 4, 6, 14, 684
Sort 2, 1, 4, 304, -4, -36, 5, 3, 6 in ascending order.
-36, -4, 1, 2, 3, 4, 5, 6, 304
Put 38, -6, 1, 7, -5, -4, 0, 4, 43 in ascending order.
-6, -5, -4, 0, 1, 4, 7, 38, 43
Sort 3, 1, 475, 7, 4, -6, -4, 0, 86 in descending order.
475, 86, 7, 4, 3, 1, 0, -4, -6
Sort 14, -9, 17, 16, 0, 1, 3, 7, 62 in decreasing order.
62, 17, 16, 14, 7, 3, 1, 0, -9
Sort 15, 9, 3, -8, 17, 2, 0, 1, 398 in descending order.
398, 17, 15, 9, 3, 2, 1, 0, -8
Sort 4, 2, 5, -33, 114, 8, 15, 0, 1 in descending order.
114, 15, 8, 5, 4, 2, 1, 0, -33
Sort 4, 5, -8, 381, 9, 0, -3, 1, 7 in increasing order.
-8, -3, 0, 1, 4, 5, 7, 9, 381
Sort -4, 9, 11, 2, 4, 1, 0, -5, 17.
-5, -4, 0, 1, 2, 4, 9, 11, 17
Sort 3, 6, 4, 12, -32, 1, 2, 51, -5 in decreasing order.
51, 12, 6, 4, 3, 2, 1, -5, -32
Sort 56, 2, -6, 1, 0, -2, -5, 18, 9 in ascending order.
-6, -5, -2, 0, 1, 2, 9, 18, 56
Sort 3, -8, 17, 0, 12, -2, 2, 5, 55.
-8, -2, 0, 2, 3, 5, 12, 17, 55
Sort 4, 30, -5, 31, -1, 0, 2, 9, -8.
-8, -5, -1, 0, 2, 4, 9, 30, 31
Put -1, 2, -15, 481, 5, 9, 7, 3, 4 in descending order.
481, 9, 7, 5, 4, 3, 2, -1, -15
Sort 7, 5, 45, 12, -1, 6, 3, 26, -5 in descending order.
45, 26, 12, 7, 6, 5, 3, -1, -5
Put -2, 839, 3, 2, 5, 1, 4, 0, 35 in descending order.
839, 35, 5, 4, 3, 2, 1, 0, -2
Sort -29, 48, 2, -4, 4, 17, 1, 0, 5.
-29, -4, 0, 1, 2, 4, 5, 17, 48
Sort 1, -25, 7, 5, 2, 13, -9, 47, 0 in ascending order.
-25, -9, 0, 1, 2, 5, 7, 13, 47
Put 50, 2, 4, 1, 29, 0, 5, -1, -9 in increasing order.
-9, -1, 0, 1, 2, 4, 5, 29, 50
Sort 62, 0, 3, 1, 7, 60, -3, -23, 5 in descending order.
62, 60, 7, 5, 3, 1, 0, -3, -23
Sort 2, 0, 44, 142, 4, 48, -5, 6, 1 in ascending order.
-5, 0, 1, 2, 4, 6, 44, 48, 142
Put 4, 3, 36, 1, 0, -4, -74, 8, 64 in decreasing order.
64, 36, 8, 4, 3, 1, 0, -4, -74
Sort 5, 2, 71, 3, 8, -5, 4, -1, -38 in descending order.
71, 8, 5, 4, 3, 2, -1, -5, -38
Put 10, 3, 0, -3, 9, 97, 2, 1, -4 in increasing order.
-4, -3, 0, 1, 2, 3, 9, 10, 97
Put -6, 21, 5, 1, 36, 9, 2, -4, 58 in descending order.
58, 36, 21, 9, 5, 2, 1, -4, -6
Sort 1, 293, 5, 57, 21, -4, 3, 6, 4 in ascending order.
-4, 1, 3, 4, 5, 6, 21, 57, 293
Sort 7, -3, 5, 1190, 3, 0, 1, 2, -5 in ascending order.
-5, -3, 0, 1, 2, 3, 5, 7, 1190
Sort 4, 19, 1, -1, 9, 0, 11, -5, -9 in increasing order.
-9, -5, -1, 0, 1, 4, 9, 11, 19
Sort 84, 13, 4, 6, -3, 1, 41, 2, 10.
-3, 1, 2, 4, 6, 10, 13, 41, 84
Sort 79, 2, 171, 0, 8, 3, 6, -3, -1 in increasing order.
-3, -1, 0, 2, 3, 6, 8, 79, 171
Put 87, 0, -28, 3, 4, -1, -3, 1, 7 in decreasing order.
87, 7, 4, 3, 1, 0, -1, -3, -28
Sort 17, 5, 97, -4, 1, 4, 3, 157, 7.
-4, 1, 3, 4, 5, 7, 17, 97, 157
Sort -6, 3, 43, 7, 8, 1, 6, -1, 17 in ascending order.
-6, -1, 1, 3, 6, 7, 8, 17, 43
Put -4, 2, -2, 9, 7, 25, -1, 1, 16 in decreasing order.
25, 16, 9, 7, 2, 1, -1, -2, -4
Sort 7, -5, 2, 0, -135, 22, 5, 1, 3 in ascending order.
-135, -5, 0, 1, 2, 3, 5, 7, 22
Put 0, 3, -4, -1, 173, 7, 4, 2, 5 in ascending order.
-4, -1, 0, 2, 3, 4, 5, 7, 173
Sort 1, 3, 5, -2, 0, 7, 4, 19, -73 in descending order.
19, 7, 5, 4, 3, 1, 0, -2, -73
Sort 21, 5, 11, 8, -5, 80, 0, -1, 3 in ascending order.
-5, -1, 0, 3, 5, 8, 11, 21, 80
Sort 7, 5, 3213, 0, -3, 2, 1, 3, -5.
-5, -3, 0, 1, 2, 3, 5, 7, 3213
Put 3, 17, -2, 1, 75, -4, 44, 7, 4 in descending order.
75, 44, 17, 7, 4, 3, 1, -2, -4
Sort 2, 37, 4, 3, 135, 61, 77, 0, 5 in decreasing order.
135, 77, 61, 37, 5, 4, 3, 2, 0
Sort -4, 70, 4, -7, 2, -1, 1, 5, 28.
-7, -4, -1, 1, 2, 4, 5, 28, 70
Sort 3, 11, -5, 2, 1, 5, -187, 4, 8 in increasing order.
-187, -5, 1, 2, 3, 4, 5, 8, 11
Put 4, 16, 3, -5, -7, 0, -43, 2, 1 in decreasing order.
16, 4, 3, 2, 1, 0, -5, -7, -43
Sort -1, 7, 5, 1, 95, 39, 51, 4, -2 in descending order.
95, 51, 39, 7, 5, 4, 1, -1, -2
Put -5, -3, 8, 6, 0, -6, 1, 9, 188 in descending order.
188, 9, 8, 6, 1, 0, -3, -5, -6
Put 5, 3, 1, 20, -2, -3, -8, -1, 4 in decreasing order.
20, 5, 4, 3, 1, -1, -2, -3, -8
Put 34, -51, 2, 4, -4, -2, 1, 5, 3 in descending order.
34, 5, 4, 3, 2, 1, -2, -4, -51
Put -3, 4, 0, 1, 63, -6, 659, 5, 2 in decreasing order.
659, 63, 5, 4, 2, 1, 0, -3, -6
Put 5, 31, 3, 2, -8, 25, 8, 4, 453 in increasing order.
-8, 2, 3, 4, 5, 8, 25, 31, 453
Put 2, 6, 4, 3, 49, 1, 43, 9, -55 in descending order.
49, 43, 9, 6, 4, 3, 2, 1, -55
Sort 0, 3, -3, -5, 31, 1, 475, 5, 7 in increasing order.
-5, -3, 0, 1, 3, 5, 7, 31, 475
Sort 3, 1, -6, 8, 35, 23, -5, 13, 7 in decreasing order.
35, 23, 13, 8, 7, 3, 1, -5, -6
Sort 37, -5, 1, 9, 5, 6, 145, -8, 2 in descending order.
145, 37, 9, 6, 5, 2, 1, -5, -8
Sort 23, 3, 0, 631, 6, 1, -3, 4, -2 in ascending order.
-3, -2, 0, 1, 3, 4, 6, 23, 631
Sort 2, -1, 4, -2, 6, 0, -4, 78, 93 in ascending order.
-4, -2, -1, 0, 2, 4, 6, 78, 93
Sort 5, 1, 2, 9, 4, 29, 25, -4, 13 in descending order.
29, 25, 13, 9, 5, 4, 2, 1, -4
Sort -8, 53, 5, 1, 7, -4, -9, 4, 26 in descending order.
53, 26, 7, 5, 4, 1, -4, -8, -9
Put 6, -9, 1, 3, 24, -7, 4, 2, 17 in increasing order.
-9, -7, 1, 2, 3, 4, 6, 17, 24
Sort -2, 84, -4, 6, 0, -1, -7, 7, 4 in increasing order.
-7, -4, -2, -1, 0, 4, 6, 7, 84
Put -5, 4, 0, 3, 1, 57, 100, 9, 8 in descending order.
100, 57, 9, 8, 4, 3, 1, 0, -5
Sort 1, -2, 19, 4, -5, 0, 2, 93, -3 in ascending order.
-5, -3, -2, 0, 1, 2, 4, 19, 93
Sort -2, 96, 8, 3, 2, -5, -77, 1, 0 in descending order.
96, 8, 3, 2, 1, 0, -2, -5, -77
Put -5, 94, 9, 86, 3, 0, 16, 1, 5 in decreasing order.
94, 86, 16, 9, 5, 3, 1, 0, -5
Put 9, 3, -7, 7, 23, -1, 4, -4, 43 in descending order.
43, 23, 9, 7, 4, 3, -1, -4, -7
Sort 8, 3, 5, 419, 1, 0, 29, 7, -4 in ascending order.
-4, 0, 1, 3, 5, 7, 8, 29, 419
Put 1, 2, 7, 76, 5, 23, 760, 4, -2 in ascending order.
-2, 1, 2, 4, 5, 7, 23, 76, 760
Put 5, 9, 27, -7, -3, 1, 4, 8, 186 in decreasing order.
186, 27, 9, 8, 5, 4, 1, -3, -7
Sort 3, 5, -2, 1, 0, -3, 4, 129, 6 in increasing order.
-3, -2, 0, 1, 3, 4, 5, 6, 129
Sort -6, 0, 6, 13, 1, -5, -1, 5, 30 in decreasing order.
30, 13, 6, 5, 1, 0, -1, -5, -6
