Sort 0, 8, 60, 3, -4, 28, 10, 6, 1.
-4, 0, 1, 3, 6, 8, 10, 28, 60
Sort 2, -2, 4, 14, 10, 38, 1, 6, 17.
-2, 1, 2, 4, 6, 10, 14, 17, 38
Put 5, -9, 20, 4, 3, 8, -10, 1, 14 in descending order.
20, 14, 8, 5, 4, 3, 1, -9, -10
Sort 3, 4, 17, 29, 2, 1, 330, 12, 5.
1, 2, 3, 4, 5, 12, 17, 29, 330
Put -4, 7, 2, 6, 0, 34, 85, -5, 19 in ascending order.
-5, -4, 0, 2, 6, 7, 19, 34, 85
Sort 9, 0, 2, 3, 59, -4, 1, 41, -5 in decreasing order.
59, 41, 9, 3, 2, 1, 0, -4, -5
Sort -5, 822, 1, 3, 8, 7, 52, 2, -1 in increasing order.
-5, -1, 1, 2, 3, 7, 8, 52, 822
Sort -1, 0, 32, 3, 44, 1, 4, 68, 28 in increasing order.
-1, 0, 1, 3, 4, 28, 32, 44, 68
Sort 9, 12, 1, 4, 3, 2, 20, 57, -10 in increasing order.
-10, 1, 2, 3, 4, 9, 12, 20, 57
Sort 6, 8, 7, 13, 0, -3, -1, -9, 37.
-9, -3, -1, 0, 6, 7, 8, 13, 37
Sort 9, 2, 68, -5, 5, 3, -9, 0, 105 in ascending order.
-9, -5, 0, 2, 3, 5, 9, 68, 105
Sort 59, 38, 9, 2, -4, -5, 0, 61, 4 in descending order.
61, 59, 38, 9, 4, 2, 0, -4, -5
Sort 2, -6, 1, 0, 8, -1, 4, -5, 314 in decreasing order.
314, 8, 4, 2, 1, 0, -1, -5, -6
Sort 2, 4, 9, 22, 77, -48, 6, -3, 5 in decreasing order.
77, 22, 9, 6, 5, 4, 2, -3, -48
Put 12, 14, 1, 7, 2, 3, -8, -7, 82 in descending order.
82, 14, 12, 7, 3, 2, 1, -7, -8
Sort 2, 14, 83, 3, -3, 1, 4, -5, 55 in ascending order.
-5, -3, 1, 2, 3, 4, 14, 55, 83
Sort 12, 101, 0, 8, -2, 1, 58, 7, 4 in descending order.
101, 58, 12, 8, 7, 4, 1, 0, -2
Sort 3, 60, 2715, 5, 1, 2, 8, -1, 7 in descending order.
2715, 60, 8, 7, 5, 3, 2, 1, -1
Sort 2, 0, 38, 11, -7, 4, -9, 3, -5 in descending order.
38, 11, 4, 3, 2, 0, -5, -7, -9
Sort 1, 93, 5, 3, 4, -4, -19, 57, 2.
-19, -4, 1, 2, 3, 4, 5, 57, 93
Sort 7, 44, 10, 4, 0, 138, -2, 5, 3 in decreasing order.
138, 44, 10, 7, 5, 4, 3, 0, -2
Put 4, 87, 18, 6, -1, 3, 11, 9, -4 in decreasing order.
87, 18, 11, 9, 6, 4, 3, -1, -4
Sort 423, 20, 5, 4, 7, 12, -3, 2, 3 in descending order.
423, 20, 12, 7, 5, 4, 3, 2, -3
Put -3, 8, 6, 59, 0, -2, 5, -16, 2 in increasing order.
-16, -3, -2, 0, 2, 5, 6, 8, 59
Sort 12, -4, 5, 0, 58, -3, -6, 4, 7 in increasing order.
-6, -4, -3, 0, 4, 5, 7, 12, 58
Sort 367, -40, 5, 7, 3, 2, 29, 1, 4 in decreasing order.
367, 29, 7, 5, 4, 3, 2, 1, -40
Put 4, -5, -1, -8, 0, 47, 3, 7, 90 in increasing order.
-8, -5, -1, 0, 3, 4, 7, 47, 90
Sort 2, -5, 5, 19, -2, 1, 88, 8, 18.
-5, -2, 1, 2, 5, 8, 18, 19, 88
Sort 8, -1, -4, 4, 7, 433, 1, 0, 18 in descending order.
433, 18, 8, 7, 4, 1, 0, -1, -4
Sort 0, 4, -62, 9, 49, 20, 7, 3, 2 in descending order.
49, 20, 9, 7, 4, 3, 2, 0, -62
